tconst,ordering,nconst,category,job,characters
tt0044517,11,nm0802563,director,\N,
tt0044518,11,nm0483738,director,\N,
tt0044519,11,nm0623401,director,\N,
tt0044524,11,nm0273477,director,\N,
tt0044533,11,nm0112218,director,\N,
tt0044536,11,nm0004625,director,\N,
tt0044537,11,nm0005738,director,\N,
tt0044547,11,nm0554249,director,\N,
tt0044552,11,nm0368871,director,\N,
tt0044557,11,nm0001928,director,director,
tt0044562,11,nm0744023,director,\N,
tt0044564,11,nm0883334,director,\N,
tt0044566,13,nm0083125,director,\N,
tt0044572,11,nm0144677,director,\N,
tt0044573,11,nm0796923,director,\N,
tt0044574,11,nm0627438,director,\N,
tt0044583,11,nm0499077,director,\N,
tt0044586,11,nm0294094,director,director,
tt0044586,12,nm0413912,director,director,
tt0044586,13,nm0670874,director,director,
tt0044596,11,nm0295367,director,\N,
tt0044596,12,nm0779670,director,associate director,
tt0044599,11,nm0502752,director,\N,
tt0044602,11,nm0160108,director,\N,
tt0044608,11,nm0002045,director,\N,
tt0044619,11,nm0850895,director,\N,
tt0044628,11,nm0002134,director,\N,
tt0044631,3,nm0718321,director,\N,
tt0044633,11,nm0523893,director,\N,
tt0044640,11,nm0894577,director,\N,
tt0044654,11,nm0213136,director,\N,
tt0044658,11,nm0071682,director,\N,
tt0044665,11,nm0909825,director,\N,
tt0044672,11,nm0001124,director,\N,
tt0044673,11,nm0005789,director,\N,
tt0044683,11,nm0400403,director,\N,
tt0044685,11,nm0896533,director,\N,
tt0044687,11,nm0281507,director,\N,
tt0044696,19,nm0173728,director,\N,
tt0044698,11,nm0912766,director,\N,
tt0044706,11,nm0003593,director,\N,
tt0044712,11,nm0952761,director,\N,
tt0044720,11,nm0437356,director,\N,
tt0044722,11,nm0091430,director,\N,
tt0044725,11,nm0294094,director,\N,
tt0044729,11,nm0394409,director,\N,
tt0044741,11,nm0000041,director,\N,
tt0044743,11,nm0286924,director,\N,
tt0044744,11,nm0002190,director,\N,
tt0044745,11,nm0621540,director,\N,
tt0044758,11,nm0523893,director,\N,
tt0044760,11,nm0861703,director,\N,
tt0044762,17,nm0946391,director,\N,
tt0044766,12,nm0347589,director,\N,
tt0044768,12,nm0001905,director,\N,
tt0044770,11,nm0812827,director,\N,
tt0044772,5,nm0409757,director,\N,
tt0044774,11,nm0851537,director,\N,
tt0044788,11,nm0587277,director,\N,
tt0044789,11,nm0439597,director,\N,
tt0044811,11,nm0000005,director,\N,
tt0044825,11,nm0829038,director,\N,
tt0044828,11,nm0211964,director,director,
tt0044829,11,nm0187769,director,\N,
tt0044837,11,nm0000122,director,\N,
tt0044838,11,nm0003422,director,\N,
tt0044847,11,nm0295367,director,\N,
tt0044851,11,nm0946391,director,\N,
tt0044855,11,nm0503777,director,\N,
tt0044858,11,nm0490444,director,\N,
tt0044859,11,nm0624535,director,\N,
tt0044860,11,nm0712947,director,\N,
tt0044861,11,nm0624535,director,\N,
tt0044863,11,nm0903049,director,\N,
tt0044872,11,nm0270765,director,director,
tt0044876,11,nm0533241,director,\N,
tt0044883,11,nm0656528,director,\N,
tt0044888,11,nm0002030,director,\N,
tt0044896,11,nm0003593,director,\N,
tt0044900,11,nm0076779,director,\N,
tt0044903,11,nm0503777,director,\N,
tt0044905,11,nm0103975,director,\N,
tt0044907,11,nm0587277,director,\N,
tt0044911,11,nm0285497,director,\N,
tt0044913,11,nm0131460,director,\N,
tt0044916,11,nm0001328,director,\N,
tt0044918,11,nm0402161,director,\N,
tt0044919,11,nm0245385,director,\N,
tt0044926,13,nm0001379,director,\N,
tt0044928,11,nm0454028,director,\N,
tt0044937,11,nm0467396,director,\N,
tt0044940,11,nm0293707,director,\N,
tt0044942,11,nm0757940,director,\N,
tt0044952,11,nm0315547,director,\N,
tt0044953,6,nm0542649,director,\N,
tt0044954,11,nm0281507,director,\N,
tt0044974,11,nm0405509,director,\N,
tt0044977,11,nm0147158,director,\N,
tt0044980,11,nm0804752,director,\N,
tt0044981,11,nm0368871,director,director,
tt0044981,12,nm0001328,director,director,
tt0044981,13,nm0454771,director,director,
tt0044981,14,nm0467396,director,director,
tt0044982,12,nm0654868,director,\N,
tt0044985,11,nm0844538,director,\N,
tt0044986,11,nm0621540,director,\N,
tt0044989,11,nm0621540,director,\N,
tt0044997,11,nm0307819,director,\N,
tt0045002,11,nm0715346,director,\N,
tt0045003,11,nm0628149,director,\N,
tt0045005,11,nm0002175,director,\N,
tt0045009,11,nm0002087,director,\N,
tt0045012,11,nm0002030,director,\N,
tt0045020,13,nm0346436,director,\N,
tt0045029,11,nm0624535,director,\N,
tt0045034,12,nm0649097,director,\N,
tt0045039,11,nm0113284,director,\N,
tt0045040,3,nm0954724,director,\N,
tt0045041,11,nm0628149,director,\N,
tt0045047,11,nm0314584,director,\N,
tt0045053,12,nm0861703,director,\N,
tt0045054,11,nm0952737,director,\N,
tt0045056,11,nm0623768,director,\N,
tt0045060,11,nm0102610,director,\N,
tt0045060,12,nm0656496,director,\N,
tt0045061,11,nm0000406,director,\N,
tt0045066,11,nm0256488,director,\N,
tt0045067,11,nm0782947,director,\N,
tt0045070,11,nm0000485,director,\N,
tt0045072,12,nm0091430,director,\N,
tt0045077,11,nm0794793,director,\N,
tt0045078,11,nm0290371,director,\N,
tt0045081,11,nm0245213,director,\N,
tt0045082,11,nm0507390,director,\N,
tt0045083,11,nm0202681,director,\N,
tt0045092,11,nm0357891,director,\N,
tt0045094,11,nm0907779,director,director,
tt0045097,12,nm0204144,director,\N,
tt0045098,11,nm0211459,director,\N,
tt0045102,11,nm0851537,director,\N,
tt0045109,12,nm0896542,director,\N,
tt0045112,11,nm0003226,director,\N,
tt0045115,11,nm0005789,director,\N,
tt0045122,11,nm0216381,director,\N,
tt0045123,12,nm0550892,director,\N,
tt0045124,11,nm0439597,director,\N,
tt0045125,11,nm0796645,director,\N,
tt0045135,11,nm0562388,director,\N,
tt0045146,11,nm0945481,director,\N,
tt0045152,11,nm0002045,director,\N,
tt0045152,12,nm0000037,director,\N,
tt0045161,11,nm0229424,director,\N,
tt0045162,11,nm0454771,director,\N,
tt0045168,16,nm0812827,director,\N,
tt0045171,11,nm0106505,director,\N,
tt0045174,12,nm0828419,director,\N,
tt0045175,12,nm0627087,director,\N,
tt0045177,11,nm0850895,director,\N,
tt0045178,11,nm0347086,director,\N,
tt0045183,11,nm0292720,director,director,
tt0045184,11,nm0211964,director,director,
tt0045186,11,nm0374702,director,\N,
tt0045187,12,nm0467396,director,\N,
tt0045191,12,nm0279807,director,\N,
