nom,adresse,commune,dep,ecrans,entrees_2021,entrees_2022,fauteuils,seances
LE RELAIS,136 BLD DE LA COTE DE BEAUTE,Saint-Georges-de-Didonne,17,1,14366,21083,192,1055
LE SELECT,BOULEVARD VICTOR HUGO,Saint-Jean-de-Luz,64,5,127909,186997,775,6510
ELDORADO,5 RUE DE LA REPUBLIQUE,Saint-Pierre-d'Oléron,17,3,52004,72284,630,3700
MEGA CGR,AVENUE DU 7EME ART,Villenave-d'Ornon,33,15,331546,561655,3167,30265
LA DOLCE VITA,RUE BERTIN LALANDE,Andernos-les-Bains,33,4,89660,142853,634,5384
GALAXIE,16 AV DES PYRENEES,Aire-sur-l'Adour,40,2,6533,16722,444,1115
CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE,121 ROUTE DE BORDEAUX,Angoulême,16,2,22622,40500,294,2993
SELECT,GRANDE RUE,Côteaux du Blanzacais,16,1,1162,2693,114,173
MEGA CGR LE FRANCAIS,ROND-POINT DE L' INTENDANCE,Bordeaux,33,12,198792,292851,1900,22821
UGC CINE CITE,13-15 RUE GEORGES BONNAC,Bordeaux,33,18,349221,535576,2783,30186
LE 7 EME ART,PLACE MARMONTEL,Bort-les-Orgues,19,2,3783,6516,358,658
CINEMA CLAUDE MILLER,PLACE DE L HOTEL DE VILLE,Bourganeuf,23,1,5373,8820,410,619
LE FAUTEUIL ROUGE,ZA BOCAPOLE,Bressuire,79,5,84746,122105,813,7109
SALLE LUX,PLACE DU CHATEAU,Cadillac,33,2,21889,32555,286,2491
FAVOLS,AVENUE VIGNAU-ANGLADE,Carbon-Blanc,33,1,3134,5889,196,176
VOX,PLACE DE L EGLISE,Chasseneuil-sur-Bonnieure,16,1,7595,12128,178,745
LE CINE-MALICE,7 RUE LOUIS XIII,Civray,86,1,9498,15915,126,1005
LE MARCHOIS,RUE DES DEUX FRERES,La Courtine,23,1,1225,1624,104,149
HENRI GEORGES CLOUZOT,RUE DU CHAMPS DE FOIRE,La Crèche,79,1,7160,10170,222,386
MAX LINDER,RUE DOCTEUR FAUCHE,Créon,33,1,11936,21679,189,1128
LE GRAND CLUB,11 AVENUE DU SABLAR,Dax,40,10,131657,215406,1347,11777
LE CINEMA,PLACE CHARLES DE GAULLE,Le Dorat,87,1,3640,5596,270,482
L ESPLANADE,ESPLANADE CHARLES SPINASSE,Égletons,19,2,7580,13019,269,1329
CASINO,PLACE BUGEAU,Fouras,17,1,7174,10331,282,1081
CINESCOP,Z.E. DE LA PENOTTE,Garat,16,6,128694,210227,873,10729
L'ENTREPOT DES JALLES,13 RUE GEORGES CLEMENCEAU,Le Haillan,33,1,2688,4653,480,288
LE FELIX,PLACE DE LA MAIRIE,Labouheyre,40,1,5328,8106,236,690
GRAND ECRAN LANGON CENTRE-VILLE,16 ALLEE JEAN JAURES,Langon,33,2,2335,6823,465,860
JEAN DUJARDIN,20 RUE DU PALAIS DE JUSTICE,Lesparre-Médoc,33,1,8729,14092,212,646
GRAND ECRAN ESTER,RUE ARISTIDE BRIAND,Limoges,87,14,211478,366892,2465,19031
CINEMA CORNAY,RUE DE L ABREUVOIR,Loudun,86,1,8398,17881,151,656
L'ESTRAN,PLACE CARNOT,Marennes,17,1,10297,14779,206,881
CINE CASTEL,9 RUE DU CHÂTEAU,Mauléon,79,1,1898,5842,269,300
LE SOUBISE,13 BD DU PRE SOUBISE,Meymac,19,1,2635,5043,244,319
ANDRONIS,CENTRE CULTUREL1 RUE JACQUES BEAUMONT,Montendre,17,1,3600,7487,120,496
LE MONTMORELIEN,AVENUE D'AQUITAINE,Montmoreau,16,1,2485,4128,92,187
